"wavelength","2MF3H","2MF3H_adj.r.squared","PLP","PLP_adj.r.squared"
"211.5",8798.61111111111,0.999419955041067,7356,0.948777948816075
"212",8725.69444444445,0.999485700853287,7566,0.954759901559589
"212.5",8635.41666666667,0.999455507671621,7786,0.959719860238332
"213",8552.08333333333,0.999464615430248,8018,0.964359356639984
"213.5",8447.91666666667,0.999451335817436,8238,0.968320206044063
"214",8357.63888888889,0.999418726529725,8462,0.972050113876485
"214.5",8260.41666666667,0.999445223063248,8676,0.975329745799387
"215",8156.25,0.999430967436881,8896,0.978170711783902
"215.5",8041.66666666667,0.999456558201946,9115.99999999999,0.980719551760249
"216",7934.02777777778,0.999417030185201,9302,0.983322480007442
"216.5",7819.44444444445,0.99944534018741,9500,0.985482596672958
"217",7704.86111111111,0.99947195268891,9704,0.987350582003629
"217.5",7576.38888888889,0.999409195884946,9890,0.988812456175778
"218",7468.75,0.999476926766507,10064,0.990269147889303
"218.5",7343.75,0.999440210328958,10216,0.991506784998918
"219",7239.58333333333,0.999423991611662,10350,0.992800943151699
"219.5",7111.11111111111,0.999472326957086,10492,0.993643234371676
"220",6993.05555555556,0.999473583036361,10624,0.994544768883424
"220.5",6868.05555555556,0.999434332491901,10754,0.995200506396584
"221",6763.88888888889,0.999535285625468,10832,0.995965750220317
"221.5",6656.25,0.999491585591933,10926,0.996525700386663
"222",6555.55555555556,0.999505289254344,11018,0.996809307624588
"222.5",6461.80555555556,0.999439764591448,11084,0.997206012918624
"223",6354.16666666667,0.999516415023373,11106,0.997584985981302
"223.5",6263.88888888889,0.999482113566413,11124,0.997906522724367
"224",6180.55555555556,0.999488875146712,11146,0.998170551405627
"224.5",6090.27777777778,0.999452177642609,11156,0.998326294012875
"225",6020.83333333333,0.999439472319374,11142,0.998498702889726
"225.5",5951.38888888889,0.999426319872606,11106,0.998650545181496
"226",5888.88888888889,0.999455770019392,11092,0.998803028196375
"226.5",5833.33333333333,0.999564327257528,11076,0.998942559206128
"227",5788.19444444445,0.999478749790906,11036,0.999037215585725
"227.5",5763.88888888889,0.999553769019235,11012,0.999129481328321
"228",5729.16666666667,0.999548345401936,10972,0.999298379158214
"228.5",5718.75,0.999598648895179,10952,0.999295815492059
"229",5704.86111111111,0.999618907943492,10922,0.999349733396055
"229.5",5704.86111111111,0.999618907943492,10888,0.999409891800006
"230",5715.27777777778,0.99956606767278,10842,0.999482913015193
"230.5",5725.69444444445,0.999639319007815,10792,0.999530109586163
"231",5750,0.999691567319261,10750,0.999562442439727
"231.5",5760.41666666667,0.999643653046657,10702,0.999571913010461
"232",5795.13888888889,0.999647909439867,10628,0.999616368014807
"232.5",5819.44444444445,0.999698883091182,10546,0.999669587070135
"233",5840.27777777778,0.999715866923941,10446,0.999663232103227
"233.5",5868.05555555556,0.999684951167431,10350,0.999682486883684
"234",5899.30555555556,0.999660230911367,10230,0.999674995829973
"234.5",5934.02777777778,0.999664194623349,10090,0.999665916336887
"235",5968.75,0.999769575508008,9944,0.999688424131438
"235.5",5989.58333333334,0.999783270134456,9774,0.999698211308599
"236",6017.36111111111,0.999757305390716,9580,0.999678417640492
"236.5",6038.19444444444,0.999774844399627,9360,0.999691877901483
"237",6062.5,0.999722539257743,9106,0.999666785872666
"237.5",6083.33333333333,0.99982605069938,8852,0.999638362372539
"238",6107.63888888889,0.999779934626689,8564,0.999629008847299
"238.5",6118.05555555556,0.999828019323671,8272,0.999585885752156
"239",6138.88888888889,0.999838779844922,7960,0.999534247336122
"239.5",6142.36111111111,0.999782415254576,7628,0.999471815015682
"240",6142.36111111111,0.999782415254576,7306,0.999482433722638
"240.5",6142.36111111111,0.999782415254576,6974,0.999407348338023
"241",6142.36111111111,0.999859089899685,6654,0.999349000134101
"241.5",6131.94444444445,0.99981533371378,6328,0.999232629327817
"242",6104.16666666667,0.999836940696884,6030,0.999137481302475
"242.5",6083.33333333333,0.99982605069938,5722,0.999081722542485
"243",6059.02777777778,0.999867007958178,5454,0.999111805169646
"243.5",6024.30555555556,0.999865470628584,5202,0.998977667779696
"244",5989.58333333333,0.999863906488636,4966,0.998977387938559
"244.5",5944.44444444445,0.999817828267321,4752,0.998958101003664
"245",5895.83333333333,0.999825214840092,4566,0.998790520858195
"245.5",5840.27777777778,0.999811272742695,4392,0.998780442322754
"246",5781.25,0.999853922189219,4244,0.998756495999219
