"wavelength"	"2MF3H"	"PLP"	"SB"
"249"	5305.555556	3618	7133.77646636055
"249.5"	5201.388889	3544	7126.36768303232
"250"	5097.222222	3470	7129.21333698716
"250.5"	4996.527778	3396	7131.20608946082
"251"	4878.472222	3330	7134.82419547325
"251.5"	4760.416667	3270	7140.64390415663
"252"	4649.305556	3202	7147.75423138165
"252.5"	4520.833333	3138	7164.32438194804
"253"	4381.944444	3070	7180.48906080874
"253.5"	4253.472222	3002	7203.41819307425
"254"	4114.583333	2942	7223.19736499502
"254.5"	3975.694444	2868	7256.87524330713
"255"	3836.805556	2802	7290.27048789551
"255.5"	3697.916667	2734	7330.48355481838
"256"	3559.027778	2668	7371.61207493188
"256.5"	3420.138889	2594	7422.80783781936
"257"	3281.25	2528	7475.08392754465
"257.5"	3142.361111	2454	7539.33823490898
"258"	2993.055556	2380	7608.70113947869
"258.5"	2843.75	2308	7684.1892274401
"259"	2729.166667	2232	7762.87228185424
"259.5"	2586.805556	2168	7841.53628053765
"260"	2458.333333	2094	7937.8712877586
"260.5"	2312.5	2028	8033.5971045991
"261"	2184.027778	1952	8146.28387388612
"261.5"	2065.972222	1886	8255.15964557192
"262"	1937.5	1824	8366.02235731102
"262.5"	1826.388889	1772	8474.73149723158
"263"	1722.222222	1712	8591.38597223293
"263.5"	1614.583333	1660	8720.04744132433
"264"	1500	1604	8864.25863646547
"264.5"	1395.833333	1558	9004.98882730567
"265"	1291.666667	1518	9150.69278655471
"265.5"	1201.388889	1476	9303.58935998321
"266"	1118.055556	1436	9458.45732200569
"266.5"	1027.777778	1398	9626.5245086664
"267"	944.4444444	1364	9800.47324738072
"267.5"	875	1336	9978.26158549576
"268"	805.5555556	1308	10164.2750836858
"268.5"	736.1111111	1282	10353.3145409621
"269"	670.1388889	1254	10543.2993140206
"269.5"	621.5277778	1234	10730.4551102721
"270"	562.5	1212	10931.4590827949
"270.5"	503.4722222	1200	11129.0841553273
"271"	468.75	1180	11330.6884763198
"271.5"	423.6111111	1164	11541.6080968059
"272"	375	1152	11747.3617408937
"272.5"	340.2777778	1132	11950.1792762258
"273"	305.5555556	1124	12140.1257661053
"273.5"	281.25	1112	12345.6636920014
"274"	250	1098	12553.5181156731
"274.5"	225.6944444	1084	12762.8406486981
"275"	201.3888889	1078	12967.9335071588
"275.5"	177.0833333	1064	13181.1433103957
"276"	166.6666667	1056	13385.5791570292
"276.5"	142.3611111	1044	13605.2189517642
"277"	131.9444444	1030	13838.9383578902
"277.5"	111.1111111	1022	14077.6295279318
"278"	107.6388889	1012	14319.2947146129
"278.5"	83.33333333	1002	14550.9544985277
"279"	72.91666667	996	14803.3863585394
"279.5"	65.97222222	984	15057.2323775304
"280"	52.08333333	970	15317.4270388677
"280.5"	41.66666667	958	15578.7368554283
"281"	31.25	950	15841.8440534177
"281.5"	17.36111111	942	16103.0310404426
"282"	31.25	930	16335.2002125474
"282.5"	17.36111111	916	16568.8663684701
"283"	6.944444444	910	16777.495053031
