data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;257,5;0,507;0,576;0,661;0,754;0,846;0,927;1,017;1,097;1,176;1,239
observation;258;0,483;0,553;0,639;0,733;0,826;0,908;0,998;1,08;1,16;1,223
observation;258,5;0,462;0,532;0,619;0,713;0,807;0,889;0,98;1,063;1,143;1,208
observation;259;0,443;0,514;0,602;0,697;0,791;0,874;0,965;1,048;1,13;1,195
observation;259,5;0,426;0,497;0,585;0,68;0,775;0,858;0,95;1,034;1,115;1,181
observation;260;0,41;0,481;0,569;0,665;0,759;0,843;0,935;1,019;1,101;1,168
observation;260,5;0,394;0,466;0,555;0,65;0,744;0,828;0,921;1,005;1,087;1,154
observation;261;0,381;0,452;0,541;0,636;0,731;0,814;0,907;0,992;1,074;1,142
observation;261,5;0,368;0,44;0,528;0,623;0,718;0,802;0,894;0,979;1,062;1,129
observation;262;0,357;0,429;0,517;0,612;0,706;0,79;0,882;0,967;1,05;1,118
observation;262,5;0,349;0,42;0,508;0,602;0,696;0,78;0,872;0,957;1,039;1,107
observation;263;0,341;0,411;0,499;0,594;0,687;0,77;0,862;0,947;1,03;1,098
observation;263,5;0,333;0,403;0,491;0,585;0,678;0,761;0,852;0,937;1,02;1,089
observation;264;0,326;0,396;0,483;0,577;0,67;0,752;0,843;0,928;1,011;1,08
observation;264,5;0,321;0,39;0,477;0,57;0,663;0,745;0,835;0,92;1,003;1,072
observation;265;0,316;0,385;0,471;0,564;0,656;0,738;0,828;0,912;0,995;1,065
observation;265,5;0,312;0,38;0,466;0,558;0,65;0,731;0,821;0,905;0,989;1,058
observation;266;0,309;0,377;0,462;0,554;0,645;0,726;0,815;0,899;0,983;1,052
observation;266,5;0,306;0,374;0,459;0,55;0,641;0,721;0,81;0,894;0,977;1,047
observation;267;0,304;0,371;0,456;0,546;0,637;0,717;0,806;0,889;0,973;1,042
observation;267,5;0,303;0,369;0,454;0,544;0,634;0,714;0,802;0,885;0,969;1,039
observation;268;0,302;0,368;0,452;0,542;0,631;0,711;0,799;0,882;0,966;1,036
observation;268,5;0,301;0,367;0,451;0,54;0,629;0,709;0,797;0,88;0,963;1,033
observation;269;0,301;0,367;0,45;0,539;0,628;0,708;0,795;0,878;0,961;1,031
observation;269,5;0,302;0,367;0,45;0,539;0,627;0,707;0,795;0,877;0,96;1,03
observation;270;0,303;0,368;0,451;0,539;0,627;0,707;0,794;0,876;0,959;1,03
observation;270,5;0,304;0,369;0,452;0,54;0,628;0,707;0,794;0,876;0,959;1,03
observation;271;0,306;0,371;0,454;0,541;0,629;0,708;0,795;0,877;0,961;1,031
observation;271,5;0,308;0,373;0,456;0,543;0,631;0,71;0,797;0,879;0,962;1,033
observation;272;0,311;0,376;0,458;0,546;0,633;0,712;0,799;0,881;0,965;1,035
observation;272,5;0,314;0,379;0,461;0,548;0,636;0,715;0,802;0,883;0,967;1,038
observation;273;0,317;0,382;0,464;0,552;0,639;0,718;0,805;0,886;0,97;1,041
observation;273,5;0,321;0,386;0,468;0,555;0,642;0,722;0,808;0,89;0,974;1,044
observation;274;0,325;0,39;0,472;0,559;0,646;0,726;0,812;0,894;0,977;1,048
observation;274,5;0,33;0,395;0,477;0,564;0,651;0,73;0,817;0,898;0,981;1,052
observation;275;0,335;0,4;0,482;0,569;0,656;0,735;0,821;0,902;0,986;1,056
observation;275,5;0,341;0,406;0,487;0,574;0,66;0,74;0,826;0,906;0,99;1,06
observation;276;0,346;0,411;0,493;0,579;0,665;0,745;0,83;0,911;0,994;1,064
observation;276,5;0,352;0,417;0,499;0,585;0,67;0,75;0,835;0,915;0,998;1,068
observation;277;0,359;0,424;0,505;0,59;0,676;0,755;0,84;0,92;1,003;1,072
observation;277,5;0,366;0,431;0,511;0,597;0,682;0,76;0,845;0,924;1,007;1,076
observation;278;0,374;0,438;0,518;0,603;0,687;0,766;0,85;0,929;1,011;1,08
observation;278,5;0,381;0,445;0,525;0,609;0,693;0,771;0,855;0,933;1,015;1,084
observation;279;0,39;0,453;0,532;0,616;0,699;0,777;0,86;0,938;1,02;1,089
observation;279,5;0,398;0,462;0,54;0,623;0,706;0,783;0,866;0,944;1,025;1,094
observation;280;0,408;0,471;0,548;0,631;0,713;0,79;0,872;0,949;1,031;1,098
observation;280,5;0,418;0,48;0,557;0,639;0,72;0,797;0,879;0,955;1,036;1,103
observation;281;0,429;0,49;0,567;0,648;0,728;0,805;0,886;0,962;1,042;1,11
observation;281,5;0,44;0,501;0,577;0,657;0,737;0,814;0,894;0,969;1,049;1,116
observation;282;0,451;0,512;0,587;0,667;0,746;0,822;0,901;0,976;1,055;1,122
observation;282,5;0,463;0,523;0,597;0,676;0,755;0,83;0,909;0,983;1,062;1,128
observation;283;0,474;0,534;0,607;0,686;0,764;0,838;0,916;0,99;1,068;1,134
observation;283,5;0,487;0,546;0,619;0,696;0,774;0,848;0,925;0,998;1,076;1,141
observation;284;0,5;0,559;0,631;0,708;0,784;0,857;0,933;1,006;1,083;1,148
observation;284,5;0,515;0,572;0,643;0,719;0,794;0,867;0,942;1,014;1,09;1,155
observation;285;0,529;0,585;0,655;0,73;0,804;0,876;0,951;1,022;1,098;1,161
observation;285,5;0,542;0,598;0,667;0,741;0,814;0,885;0,959;1,029;1,105;1,168
