data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;281;0,268;0,511;0,684;0,961;1,217;1,42;1,611;1,78;2,038;2,268
observation;281,5;0,265;0,505;0,676;0,949;1,202;1,403;1,592;1,755;2,014;2,238
observation;282;0,262;0,5;0,669;0,938;1,189;1,386;1,573;1,737;1,99;2,218
observation;282,5;0,259;0,494;0,662;0,928;1,176;1,372;1,556;1,719;1,972;2,19
observation;283;0,257;0,49;0,655;0,919;1,164;1,358;1,541;1,7;1,947;2,174
observation;283,5;0,254;0,484;0,647;0,908;1,151;1,342;1,524;1,68;1,927;2,149
observation;284;0,251;0,477;0,639;0,895;1,135;1,324;1,502;1,657;1,901;2,115
observation;284,5;0,247;0,47;0,628;0,88;1,115;1,301;1,476;1,629;1,868;2,076
observation;285;0,242;0,46;0,615;0,862;1,092;1,274;1,447;1,595;1,827;2,036
observation;285,5;0,237;0,45;0,601;0,841;1,066;1,243;1,411;1,555;1,784;1,984
observation;286;0,231;0,438;0,584;0,816;1,034;1,205;1,366;1,507;1,726;1,924
observation;286,5;0,224;0,423;0,564;0,788;0,997;1,161;1,317;1,451;1,663;1,85
observation;287;0,217;0,408;0,543;0,757;0,957;1,113;1,263;1,39;1,592;1,776
observation;287,5;0,209;0,391;0,518;0,721;0,912;1,061;1,202;1,322;1,513;1,685
observation;288;0,2;0,372;0,491;0,681;0,862;1,001;1,134;1,245;1,427;1,587
observation;288,5;0,191;0,353;0,465;0,643;0,813;0,944;1,068;1,171;1,341;1,492
observation;289;0,183;0,335;0,44;0,607;0,767;0,889;1,006;1,101;1,26;1,403
observation;289,5;0,174;0,316;0,414;0,568;0,717;0,83;0,939;1,026;1,175;1,307
observation;290;0,165;0,297;0,388;0,53;0,67;0,774;0,874;0,954;1,092;1,216
observation;290,5;0,157;0,28;0,363;0,495;0,624;0,721;0,814;0,887;1,014;1,129
observation;291;0,148;0,261;0,338;0,458;0,578;0,666;0,751;0,817;0,934;1,041
