"wavelength","2MF3H","PLP","SB"
"216.5",7819.44444444445,9500,17007.0539463858
"217",7704.86111111111,9704,16844.8748478601
"217.5",7576.38888888889,9890,16698.1105112071
"218",7468.75,10064,16559.0735896872
"218.5",7343.75,10216,16429.2968702325
"219",7239.58333333333,10350,16330.3607803473
"219.5",7111.11111111111,10492,16203.4818972439
"220",6993.05555555556,10624,16078.958234946
"220.5",6868.05555555556,10754,15957.4823758595
"221",6763.88888888889,10832,15871.4799173831
"221.5",6656.25,10926,15769.5746810616
"222",6555.55555555556,11018,15636.9453808122
"222.5",6461.80555555556,11084,15529.554061976
"223",6354.16666666667,11106,15435.9101072435
"223.5",6263.88888888889,11124,15310.590963563
"224",6180.55555555556,11146,15180.6272521741
"224.5",6090.27777777778,11156,15047.6386839277
"225",6020.83333333333,11142,14934.3467424054
"225.5",5951.38888888889,11106,14807.8170571394
"226",5888.88888888889,11092,14660.8929696323
"226.5",5833.33333333333,11076,14495.9462490354
"227",5788.19444444445,11036,14333.4856607185
"227.5",5763.88888888889,11012,14135.7232299658
"228",5729.16666666667,10972,13956.0760848146
"228.5",5718.75,10952,13739.8114501172
"229",5704.86111111111,10922,13534.612354346
"229.5",5704.86111111111,10888,13316.1334754583
"230",5715.27777777778,10842,13075.0055196033
"230.5",5725.69444444445,10792,12816.8377454305
"231",5750,10750,12553.1591154394
"231.5",5760.41666666667,10702,12304.8895706729
"232",5795.13888888889,10628,12052.4199635923
"232.5",5819.44444444445,10546,11793.0359016456
"233",5840.27777777778,10446,11529.0707802507
"233.5",5868.05555555556,10350,11272.9928698516
"234",5899.30555555556,10230,10979.4015267007
"234.5",5934.02777777778,10090,10700.6915225501
"235",5968.75,9944,10454.5451234777
"235.5",5989.58333333334,9774,10177.0753488944
"236",6017.36111111111,9580,9917.8484004391
"236.5",6038.19444444444,9360,9671.30395742309
"237",6062.5,9106,9403.16053808757
"237.5",6083.33333333333,8852,9168.05106215693
"238",6107.63888888889,8564,8925.42846568584
"238.5",6118.05555555556,8272,8706.90146139641
"239",6138.88888888889,7960,8486.9542831249
"239.5",6142.36111111111,7628,8300.06274201949
"240",6142.36111111111,7306,8133.4236606756
"240.5",6142.36111111111,6974,7978.01627286231
"241",6142.36111111111,6654,7845.77709643646
"241.5",6131.94444444445,6328,7723.35577828117
"242",6104.16666666667,6030,7615.83833769978
"242.5",6083.33333333333,5722,7527.03575662658
"243",6059.02777777778,5454,7451.96434513447
"243.5",6024.30555555556,5202,7385.11283425411
"244",5989.58333333333,4966,7338.47353856506
"244.5",5944.44444444445,4752,7289.05693677455
"245",5895.83333333333,4566,7249.40969317272
"245.5",5840.27777777778,4392,7220.12359407419
"246",5781.25,4244,7193.5730951021
"246.5",5725.69444444445,4112,7170.38160575591
"247",5656.25,3998,7154.00939654956
"247.5",5572.91666666667,3886,7149.83575763053
"248",5493.05555555556,3790,7143.92604332196
"248.5",5399.30555555556,3704,7130.95677759029
"249",5305.55555555556,3618,7133.77412255518
"249.5",5201.38888888889,3544,7126.36556257606
"250",5097.22222222222,3470,7129.21145435853
"250.5",4996.52777777778,3396,7131.20443915331
"251",4878.47222222222,3330,7134.82279107084
"251.5",4760.41666666667,3270,7140.64274092877
"252",4649.30555555556,3202,7147.75331261625
"252.5",4520.83333333333,3138,7164.32373698835
"253",4381.94444444445,3070,7180.48870823385
"253.5",4253.47222222222,3002,7203.4181289364
"254",4114.58333333333,2942,7223.19758680802
"254.5",3975.69444444445,2868,7256.8757888713
"255",3836.80555555556,2802,7290.2713455871
"255.5",3697.91666666667,2734,7330.48473639444
"256",3559.02777777778,2668,7371.61357834033
"256.5",3420.13888888889,2594,7422.80968828544
"257",3281.25,2528,7475.08611420533
"257.5",3142.36111111111,2454,7539.34078516003
"258",2993.05555555556,2380,7608.7040736857
"258.5",2843.75,2308,7684.19254983073
"259",2729.16666666667,2232,7762.87595902956
"259.5",2586.80555555556,2168,7841.54033024692
"260",2458.33333333333,2094,7937.87572914146
"260.5",2312.5,2028,8033.60194905487
"261",2184.02777777778,1952,8146.28913529151
"261.5",2065.97222222222,1886,8255.1652910479
"262",1937.5,1824,8366.02839750734
"262.5",1826.38888888889,1772,8474.737893542
"263",1722.22222222222,1712,8591.39273763765
"263.5",1614.58333333333,1660,8720.0545840026
"264",1500,1604,8864.26619176284
"264.5",1395.83333333333,1558,9004.9967631213
"265",1291.66666666667,1518,9150.70110208633
"265.5",1201.38888888889,1476,9303.59804907759
"266",1118.05555555556,1436,9458.46637588336
"266.5",1027.77777777778,1398,9626.53395086338
"267",944.444444444445,1364,9800.48307159896
"267.5",875,1336,9978.27177004549
"268",805.555555555556,1308,10164.2856395528
"268.5",736.111111111111,1282,10353.3254693275
"269",670.138888888889,1254,10543.3106146913
"269.5",621.527777777778,1234,10730.4667459909
"270",562.5,1212,10931.4710879458
"270.5",503.472222222222,1200,11129.0965122577
"271",468.75,1180,11330.7011685323
"271.5",423.611111111111,1164,11541.6211460507
"272",375,1152,11747.3751385642
"272.5",340.277777777778,1132,11950.1930117635
"273",305.555555555556,1124,12140.1398062724
"273.5",281.25,1112,12345.6780482646
"274",250,1098,12553.5328039328
"274.5",225.694444444445,1084,12762.8556616427
"275",201.388888888889,1078,12967.9488275327
"275.5",177.083333333333,1064,13181.158960524
"276",166.666666666667,1056,13385.595099401
"276.5",142.361111111111,1044,13605.2352288726
"277",131.944444444444,1030,13838.9549735901
"277.5",111.111111111111,1022,14077.6464935203
"278",107.638888888889,1012,14319.3120140516
"278.5",83.3333333333333,1002,14550.9721462177
