PL
wavelength	7,35E-5	1,47E-4	2,205E-4	2,94E-4
301,00	0,409	0,812	1,216	1,601
301,50	0,409	0,812	1,216	1,600
302,00	0,408	0,811	1,214	1,598
302,50	0,407	0,808	1,210	1,591
303,00	0,405	0,804	1,205	1,585
303,50	0,402	0,798	1,196	1,573
304,00	0,398	0,792	1,185	1,560
304,50	0,394	0,784	1,174	1,545
305,00	0,389	0,774	1,160	1,527
305,50	0,384	0,764	1,144	1,506
306,00	0,378	0,751	1,126	1,482
306,50	0,371	0,737	1,105	1,454
307,00	0,364	0,723	1,084	1,428
307,50	0,356	0,709	1,062	1,398
308,00	0,347	0,692	1,036	1,364
308,50	0,338	0,673	1,009	1,327
309,00	0,328	0,653	0,979	1,288
309,50	0,317	0,632	0,948	1,247
310,00	0,306	0,610	0,916	1,206
310,50	0,295	0,588	0,883	1,164
311,00	0,284	0,565	0,849	1,118
311,50	0,271	0,541	0,814	1,072
312,00	0,259	0,517	0,777	1,024
312,50	0,247	0,493	0,741	0,977
313,00	0,235	0,469	0,707	0,931
313,50	0,223	0,446	0,672	0,886
314,00	0,211	0,421	0,635	0,837
314,50	0,198	0,396	0,597	0,788
315,00	0,185	0,371	0,560	0,739
315,50	0,173	0,347	0,525	0,693
316,00	0,162	0,325	0,492	0,649
316,50	0,152	0,304	0,461	0,608
317,00	0,141	0,282	0,429	0,566
317,50	0,130	0,261	0,398	0,525
318,00	0,120	0,241	0,367	0,485
318,50	0,110	0,222	0,339	0,448
319,00	0,101	0,203	0,310	0,411
319,50	0,092	0,186	0,286	0,379
320,00	0,085	0,171	0,264	0,350
320,50	0,077	0,157	0,242	0,321
321,00	0,071	0,143	0,222	0,294
321,50	0,064	0,130	0,203	0,269
322,00	0,058	0,119	0,186	0,246
322,50	0,053	0,108	0,170	0,226
323,00	0,048	0,099	0,156	0,208
323,50	0,044	0,090	0,143	0,190
324,00	0,040	0,082	0,131	0,175
324,50	0,036	0,075	0,121	0,161
325,00	0,033	0,069	0,111	0,149
325,50	0,030	0,063	0,103	0,138
326,00	0,028	0,059	0,096	0,129
