"wavelength";"INH";"PL";"SB"
"362.5";240;1225,85034013605;12869,9546555419
"363";230;1244,89795918367;13035,9818830832
"363.5";220;1262,58503401361;13172,8271906436
"364";220;1280,27210884354;13321,6474385437
"364.5";210;1303,40136054422;13470,5410359251
"365";200;1321,08843537415;13603,1127097026
"365.5";190;1340,13605442177;13754,121770527
"366";180;1361,90476190476;13898,9194614437
"366.5";170;1379,59183673469;14037,9646874335
"367";170;1393,19727891156;14187,2386384061
"367.5";150;1410,8843537415;14326,3142069973
"368";150;1429,93197278912;14470,2949221991
"368.5";140;1448,97959183673;14612,8072946549
"369";140;1470,74829931973;14761,4842489213
"369.5";130;1488,43537414966;14897,9770849034
"370";120;1506,12244897959;15019,1145262269
"370.5";120;1525,17006802721;15142,3744685108
"371";110;1538,77551020408;15277,4455915595
"371.5";99,9999999999997;1556,46258503401;15400,8082716102
"372";99,9999999999998;1579,59183673469;15531,251888598
"372.5";99,9999999999998;1593,19727891156;15662,3833620338
"373";99,9999999999999;1610,8843537415;15774,1899986092
"373.5";89,9999999999998;1628,57142857143;15877,4038395674
"374";80;1642,1768707483;15992,4328323061
"374.5";79,9999999999997;1655,78231292517;16091,4530226166
"375";79,9999999999997;1677,55102040816;16216,5991531955
"375.5";69,9999999999997;1696,59863945578;16312,5865424425
"376";69,9999999999999;1704,7619047619;16414,7577315083
"376.5";69,9999999999999;1718,36734693878;16498,8743192053
"377";59,9999999999997;1733,33333333333;16590,48731759
"377.5";59,9999999999999;1746,9387755102;16669,666676985
"378";59,9999999999998;1764,62585034014;16748,9219484039
"378.5";49,9999999999998;1778,23129251701;16823,571281491
"379";49,9999999999997;1791,83673469388;16880,5360962062
"379.5";49,9999999999998;1805,44217687075;16962,7785039857
"380";49,9999999999998;1814,96598639456;17016,7671673057
"380.5";49,9999999999998;1827,21088435374;17084,4623481415
"381";40;1836,73469387755;17143,5454903691
"381.5";40;1850,34013605442;17192,1821300747
"382";29,9999999999998;1863,94557823129;17235,1558792532
"382.5";39,9999999999998;1872,10884353742;17275,2184305042
"383";39,9999999999998;1881,63265306122;17312,8087030865
"383.5";29,9999999999998;1889,79591836735;17336,7233239859
"384";29,9999999999998;1899,31972789116;17354,2412980233
"384.5";29,9999999999998;1904,76190476191;17381,3117412426
"385";29,9999999999998;1918,36734693878;17388,7154753902
"385.5";29,9999999999998;1922,44897959184;17406,1297055659
"386";29,9999999999998;1930,61224489796;17405,6012220307
"386.5";29,9999999999998;1937,41496598639;17399,3948755267
"387";29,9999999999998;1945,57823129252;17395,7010223354
"387.5";19,9999999999998;1945,57823129252;17385,9863658811
"388";19,9999999999997;1953,74149659864;17372,857871296
"388.5";19,9999999999997;1953,74149659864;17347,1224907589
"389";19,9999999999997;1963,26530612245;17311,8210450257
"389.5";19,9999999999997;1963,26530612245;17284,9783482523
"390";9,9999999999999;1967,34693877551;17259,7668038813
"390.5";9,9999999999999;1967,34693877551;17209,3683436492
"391";19,9999999999999;1967,34693877551;17162,5566433933
"391.5";19,9999999999999;1971,42857142857;17100,4651530859
"392";19,9999999999998;1972,78911564626;17044,923138476
"392.5";19,9999999999998;1972,78911564626;16962,5698845717
"393";19,9999999999998;1972,78911564626;16906,3615034145
"393.5";9,99999999999983;1971,42857142857;16831,6883189652
"394";9,99999999999983;1971,42857142857;16742,7614361076
"394.5";9,99999999999983;1972,78911564626;16657,3363101945
"395";9,99999999999983;1967,34693877551;16567,841299569
"395.5";9,99999999999983;1961,90476190476;16467,1993082846
"396";9,99999999999983;1957,8231292517;16369,9216072906
"396.5";9,99999999999983;1953,74149659864;16259,322567598
"397";9,99999999999983;1949,65986394558;16146,767602458
"397.5";9,99999999999983;1944,21768707483;16034,0477233999
"398";9,99999999999983;1940,13605442177;15910,762176969
"398.5";0;1930,61224489796;15786,37987076
