"label";"residuals.abs";"residuals.rel"
298,5;-0,00793655970214835;-0,0138654082846757
299;-0,0114849578728331;-0,020061061786608
299,5;-0,0149851845590682;-0,0262116224577019
300;-0,0184170599641786;-0,0323106315161029
300,5;-0,0216566641792239;-0,0381749765189914
301;-0,0248765215701684;-0,0441229541861802
301,5;-0,0276458109758309;-0,0494469879732264
302;-0,0300305994836156;-0,0542754373461335
302,5;-0,0325940973162575;-0,0595870152033958
303;-0,0346969311629945;-0,0643012067512872
303,5;-0,0356974331250872;-0,0672901661170352
304;-0,0359519423201163;-0,0691250573353515
304,5;-0,0367151161031261;-0,0720327959645401
305;-0,0367402478159187;-0,0737607866209971
305,5;-0,035879587968512;-0,0739480378576092
306;-0,0342846657881943;-0,0727603263756245
306,5;-0,0324066081404241;-0,0709737366194133
307;-0,0310964529301616;-0,070306246733352
307,5;-0,0295054542296952;-0,0690186063852519
308;-0,0266853765468383;-0,0648805653946957
308,5;-0,0228887758422834;-0,0580933397012269
309;-0,0189692651234065;-0,0503831742985563
309,5;-0,0151817626801024;-0,0422772561406359
310;-0,0111827212823497;-0,0327458895530004
310,5;-0,00713033692506704;-0,0220140071783484
311;-0,00288473597932193;-0,00942108419112321
311,5;0,00169186011399419;0,00586840136661184
312;0,00603499319527206;0,0222857946649633
312,5;0,00987785009691089;0,0388891736098854
313;0,0131511677639113;0,055257007411392
313,5;0,0158831615811107;0,0712888760373011
314;0,0191994764644935;0,0926168666883431
314,5;0,0226231600514209;0,11782895860115
315;0,0259746571210604;0,146666612767139
315,5;0,0285718241936102;0,17496524307171
316;0,0304299630965432;0,202058187892053
316,5;0,0316618721490831;0,227947243693903
317;0,0327779135030766;0,256679040744531
317,5;0,0340860950895657;0,292083077031411
318;0,0350921655555232;0,32981358604815
318,5;0,0355997205338898;0,367007428184431
319;0,0364103185713714;0,415168968886789
319,5;0,0361236050413118;0,452110200767357
320;0,0355374423919319;0,488151681207856
320,5;0,0349480451217185;0,528714752219644
321;0,0340501179319755;0,5665577026951
321,5;0,0332369955795837;0,610974183448229
322;0,0322007830388436;0,653159899368025
322,5;0,0308324946778392;0,686692531800428
323;0,0295221912599603;0,723583119116675
323,5;0,0281591136930115;0,759005759919447
324;0,0265318125646952;0,780347428373388
324,5;0,0249282726222651;0,798983096867471
325;0,0233360314739821;0,813102141950596
325,5;0,021842291908984;0,827359542006969
326;0,0202340273487538;0,825878667296075
326,5;0,0184980800561682;0,804264350268184
327;0,0168212518359123;0,77517289566416
327,5;0,0150903870618301;0,729004205885514
328;0,0135924479616871;0,689971977750615
328,5;0,0124145821771722;0,667450654686677
329;0,0111441826962665;0,626077679565533
329,5;0,00976894032600444;0,56467863156095
330;0,00857688893597858;0,510529103332058
330,5;0,00735644375665018;0,445845076160617
331;0,00609643306172003;0,371733723275612
331,5;0,00528612360070118;0,330382725043824
332;0,0043152401767332;0,27139875325366
