"label";"observed";"Curve 215";"Curve 244";"Curve 299";"Curve 401";"predicted"
230,5;0,5168;0,115714598514926;0,340082975476325;5,7218969901269e-07;8,69647003230507e-08;0,45579823314565
231;0,5139;0,0927942907730134;0,358252685016496;7,04183837215825e-07;9,43901425383442e-08;0,451047774363489
231,5;0,5132;0,073915785317038;0,376598294401034;8,65265672556404e-07;1,024240158206e-07;0,450515047407761
232;0,5142;0,0584838519055601;0,395049554196404;1,06152517959756e-06;1,1111392212102e-07;0,453534578741065
232,5;0,5167;0,0459639746726677;0,413532013290397;1,30025499256013e-06;1,20510996118636e-07;0,459497408729053
233;0,5204;0,0358824442941637;0,431967455304913;1,59017222633349e-06;1,30670151701559e-07;0,467851620441455
233,5;0,5251;0,0278246235050303;0,450274396446691;1,94167796378709e-06;1,41650344408681e-07;0,47810110328003
234;0,5313;0,0214318375429625;0,468368641237911;2,36716016482427e-06;1,53514850771839e-07;0,48980299945589
234,5;0,5381;0,0163973004823103;0,486163891534967;2,88134651180443e-06;1,66331565547044e-07;0,502564239695354
235;0,5446;0,012461437296951;0,503572403242979;3,50171454369566e-06;1,80173317873988e-07;0,516037522427792
235,5;0,5525;0,00940690487926513;0,520505684186621;4,24896735193456e-06;1,95118207455779e-07;0,529917033151446
236;0,5605;0,00705355737312326;0,536875225724911;5,14758411831148e-06;2,11249961905697e-07;0,543934141932115
236,5;0,5685;0,00525354538622887;0,552593259918693;6,22645587245073e-06;2,2865831646483e-07;0,557853260419111
237;0,5774;0,00388668736534522;0,567573533392842;7,51961803593721e-06;2,47439417353751e-07;0,57146798781564
237,5;0,5854;0,00285620623743439;0,581732088497691;9,06709260307221e-06;2,67696250082963e-07;0,584597629523978
238;0,5937;0,00208488618976254;0,594988041980191;1,091585418449e-05;2,89539094110809e-07;0,597084133563232
238,5;0,6011;0,00151167341910933;0,607264351136822;1,31209356076556e-05;3,13086005303804e-07;0,608789458577544
239;0,6089;0,00108872058721943;0,618488557346272;1,57466903238687e-05;3,38463327723112e-07;0,619593363087143
239,5;0,6161;0,000778857002133948;0,628593496976037;1,88682305088017e-05;3,6580623633206e-07;0,629391588014916
240;0,6225;0,00055345441561626;0,637517969925564;2,25730614541445e-05;3,95259312293261e-07;0,638094392661947
240,5;0,6287;0,000390650891218587;0,64520735650804;2,6962934619931e-05;4,26977152600134e-07;0,645625397311031
241;0,6341;0,000273891539308491;0,651614173978288;3,21559435354825e-05;4,61125015866363e-07;0,651920682586148
241,5;0,6389;0,000190744159474676;0,656698564776855;3,82888885827172e-05;4,97879506178157e-07;0,656928095704418
242;0,6425;0,000131949186065613;0,660428709468111;4,55199385457082e-05;5,37429296998097e-07;0,660606716022019
242,5;0,6456;9,0666117125864e-05;0,662781158387634;5,40316186371018e-05;5,79975897195901e-07;0,662926436099295
243;0,6474;6,18822581332496e-05;0,663741077163055;6,40341564826005e-05;6,25734461370526e-07;0,663867619312132
243,5;0,6482;4,19536860373001e-05;0,663302402512032;7,57692192211356e-05;6,7493464671983e-07;0,663420800351937
244;0,6479;2,82525029686753e-05;0,661467906028188;8,95140764169121e-05;7,27821518808301e-07;0,661586400429092
244,5;0,6466;1,88984666814539e-05;0,658249165016217;0,000105586224830638;7,84656508680333e-07;0,658374434364238
245;0,6441;1,25568019385502e-05;0,65366644080553;0,000124348512205352;8,45718423866022e-07;0,653804191838097
245,5;0,6401;8,28732467202804e-06;0,647748466331787;0,000146214798025569;9,113045159285e-07;0,647903879759
246;0,6352;5,43290983626291e-06;0,640532146101912;0,000171656189639177;9,81731607306334e-07;0,640710216932995
246,5;0,6291;3,53780161932472e-06;0,63206217292565;0,000201207892115823;1,05733728031155e-06;0,632267975956666
247;0,6219;2,2883228108804e-06;0,622390566981978;0,000235476709674036;1,13848113125316e-06;0,622629470495594
247,5;0,6133;1,47022545580691e-06;0,611576143869974;0,000275149235357581;1,22554609276784e-06;0,61185398887688
248;0,6034;9,38282077427244e-07;0,59968391925181;0,000321000763790434;1,3189398275533e-06;0,600007177237505
248,5;0,5916;5,94792848590329e-07;0,586784458513869;0,000373904959196826;1,41909619681593e-06;0,587160377362112
249;0,5794;3,74525066960879e-07;0,572953180537178;0,000434844307342976;1,52647680686254e-06;0,573389925846395
249,5;0,5652;2,34249610342145e-07;0,558269625170463;0,00050492137554432;1,64157263738595e-06;0,558776422368255
250;0,5506;1,45532402409255e-07;0,542816694331737;0,000585370899290483;1,76490575511622e-06;0,543403975669185
250,5;0,5339;8,98097225600244e-08;0,526679876824643;0,000677572707276909;1,89703111663233e-06;0,52735943637276
251;0,5176;5,50515873138902e-08;0,509946466944738;0,000783065488607846;2,03853846425486e-06;0,510731626023397
251,5;0,4999;3,35196265250334e-08;0,49270478677284;0,000903561396568759;2,19005431906544e-06;0,493610571743355
252;0,481;2,02726877519271e-08;0,475043421715367;0,00104096147258445;2,35224407522727e-06;0,476086755704715
252,5;0,4617;1,21788512491138e-08;0,457050478365932;0,00119737186172245;2,52581419990814e-06;0,458250388220706
253;0,4405;7,2674851929915e-09;0,438812873142167;0,00137512077732517;2,71151454323706e-06;0,440190712701521
253,5;0,4208;4,30769374671339e-09;0,420415659412528;0,00157677615703225;2,91014076285456e-06;0,421995350018017
254;0,4005;2,53622815052134e-09;0,401941399987739;0,00180516393558441;3,12253686774624e-06;0,403749688996419
254,5;0,38;1,48325100802164e-09;0,383469590929796;0,002063386841401;3,34959788617839e-06;0,385536328852334
255;0,3608;8,61635969118244e-10;0,365076141648306;0,00235484360404938;3,59227266268333e-06;0,367434578386654
255,5;0,3407;4,97182487900100e-10;0,346832915230192;0,00268324843845456;3,85156678917009e-06;0,349520015732618
256;0,3211;2,84964434683157e-10;0,328807331905032;0,00305265064915455;4,12854567536292e-06;0,331864111384826
256,5;0,3032;1,62236412007163e-10;0,311062037504792;0,00346745417424412;4,4243377638953e-06;0,314533916179037
257;0,2859;9,17463593777687e-11;0,293654637752685;0,00393243686406874;4,74013789551065e-06;0,297591814846396
257,5;0,2682;5,15361749071534e-11;0,276637498229232;0,00445276926447049;5,07721082994156e-06;0,281095344756069
258;0,2511;2,87553301100726e-11;0,260057608930731;0,00503403264873706;5,43689492815799e-06;0,265097078503151
258,5;0,2351;1,59370292068691e-11;0,243956511470384;0,00568223601669573;5,82060600178908e-06;0,249644568109018
259;0,2217;8,773627952624e-12;0,228370286187678;0,00640383175400499;6,22984133563487e-06;0,234780347791792
259,5;0,2088;4,79770890728859e-12;0,213329595736937;0,00720572962005195;6,66618388929041e-06;0,220541991545675
260;0,1969;2,6059819858633e-12;0,198859781128825;0,00809530870943159;7,13130668400673e-06;0,206962221147546
260,5;0,1852;1,40602084335019e-12;0,184981005703951;0,00908042701027213;7,62697738100949e-06;0,194069059693011
261;0,1747;7,53520276283087e-13;0,171708442128214;0,0101694281632262;8,15506305758599e-06;0,181886025355252
261,5;0,1655;4,0112613786479e-13;0,159052497215478;0,0113711450083447;8,71753518733543e-06;0,170432359759411
262;0,1572;2,12104467314122e-13;0,147019069202724;0,012694899493893;9,31647483105238e-06;0,15972328517166
262,5;0,1504;1,11404184518715e-13;0,135609832022154;0,0141504985120745;9,95407804478236e-06;0,149770284612384
263;0,1444;5,81213946546104e-14;0,124822541128225;0,0157482252222209;1,06326615116472e-05;0,140581399012016
263,5;0,1388;3,01198902112952e-14;0,114651355538269;0,0174988254229151;1,13546684040872e-05;0,132161535629618
264;0,134;1,55043504669289e-14;0,105087170924732;0,0194134885413429;1,21226744832076e-05;0,124512782140573
264,5;0,13;7,92750644464483e-15;0,0961179588460225;0,0215038228214979;1,29393944419438e-05;0,11763472106197
265;0,1268;4,02626601591243e-15;0,0877291075113614;0,0237818243132416;1,38076884987757e-05;0,111524739513106
265,5;0,1244;2,03119286211728e-15;0,0799037598326249;0,0262598392921195;1,47305692487284e-05;0,106178329693995
266;0,1225;1,01784744937724e-15;0,072623144912361;0,0289505197756824;1,57112087783814e-05;0,101589375896823
266,5;0,1212;5,0663718074117e-16;0,0658668995415346;0,0318667718461736;1,67529460515863e-05;0,0977504243337604
267;0,1204;2,5049222976227e-16;0,0596133767230286;0,0350216965420567;1,78592945725553e-05;0,0946529325596581
267,5;0,1203;1,23019595204558e-16;0,0538399386878871;0,038428523142081;1,90339503329195e-05;0,0922874957803012
268;0,1207;6,00118704838144e-17;0,0485232323218443;0,04210053473539;2,0280800049289e-05;0,0906440478572837
268,5;0,1216;2,90792276672183e-17;0,0436394453617448;0,0460509860494161;2,16039296977497e-05;0,0897120353408588
269;0,1228;1,39962408294613e-17;0,0391645421478667;0,0502930135936522;2,30076333516226e-05;0,0894805633748705
269,5;0,1245;6,6914891844697e-18;0,0350744781227352;0,054839538271361;2,44964223286766e-05;0,0899385128164249
270;0,1268;3,17772996091552e-18;0,0313453926446212;0,0597031607122314;2,60750346538349e-05;0,0910746283915064
270,5;0,1295;1,49897376437351e-18;0,0279537800304587;0,0648960496860732;2,77484448432372e-05;0,0928775781613751
271;0,1326;7,02350521816783e-19;0,0248766390553316;0,0704298240698626;2,9521874015321e-05;0,0953359849992095
271,5;0,1363;3,26886226514859e-19;0,0220916014118887;0,0763154289566084;3,14008003343603e-05;0,0984384311688314
272;0,1404;1,51120077915888e-19;0,0195770398719273;0,0825630066132577;3,33909697916514e-05;0,102173437454977
272,5;0,1446;6,93953787694394e-20;0,0173121570936545;0,0891817631146712;3,54984073292583e-05;0,106529418615655
273;0,149;3,16535021126441e-20;0,0152770561823011;0,0961798315999004;3,77294283109236e-05;0,111494617210512
273,5;0,154;1,4341540972369e-20;0,0134527942400097;0,103564133213796;4,00906503444233e-05;0,117057018104151
274;0,1592;6,45435284639625e-21;0,0118214202350052;0,111340236909451;4,25890054592729e-05;0,123204246149915
274,5;0,1648;2,88530962247059e-21;0,0103659985822262;0,119512219393115;4,52317526433054e-05;0,129923449727985
275;0,1709;1,28119424500845e-21;0,00907061986045607;0,12808252659101;4,80264907412099e-05;0,137201172942207
275,5;0,1773;5,65093574284318e-22;0,0079204000974288;0,137051838104745;5,09811717176636e-05;0,145023219373892
276;0,1839;2,47576029324078e-22;0,00690147003745979;0,146418936196824;5,41041142871971e-05;0,153374510348571
276,5;0,1908;1,07740665163142e-22;0,00600095576900984;0,156180580907928;5,74040179123999e-05;0,16223894069485
277;0,1979;4,65729283955819e-23;0,00520695203540093;0,166331392951387;6,08899771715166e-05;0,17159923496396
277,5;0,2056;1,99972499339986e-23;0,00450848948376249;0,17686374605566;6,45714964958746e-05;0,181436807035919
278;0,2135;8,52883745806528e-24;0,00389549702818153;0,187767670431124;6,84585052769526e-05;0,191731625964583
278,5;0,2211;3,61320194642468e-24;0,00335876041577558;0,199030769021607;7,25613733422174e-05;0,202462090810725
279;0,2294;1,52046864283153e-24;0,00288987799161171;0,21063814816268;7,68909267981412e-05;0,21360491708109
279,5;0,2382;6,35543871314282e-25;0,00248121456243145;0,222572364206911;8,14584642380552e-05;0,225135037233581
280;0,2471;2,63873900595218e-25;0,00212585416212555;0,234813387590466;8,62757733116968e-05;0,237025517525903
280,5;0,2562;1,08825375244536e-25;0,00181755242568663;0,247338585705459;9,13551476524704e-05;0,249247493278798
281;0,2659;4,45806857360231e-26;0,00155068918452878;0,260122725808466;9,67094041575596e-05;0,261770124397152
281,5;0,2761;1,81403703918278e-26;0,00132022180591765;0,273137999038097;0,000102351900615107;0,27456057274463
282;0,2862;7,33210018970162e-27;0,00112163971385596;0,286354066434654;0,000108296553671709;0,287584002702182
282,5;0,2962;2,94369944455615e-27;0,000950920448931518;0,299738127653805;0,000114557857132472;0,300803605959869
