wavelength	2MF3H	2MF3H_adj.r.squared	PLP	PLP_adj.r.squared
277.5	111.1111111	0.484615385	1022	0.992148422
278	107.6388889	0.415238095	1012	0.98973623
278.5	83.33333333	0.3	1002	0.991833581
279	72.91666667	0.127014218	996	0.99064754
279.5	65.97222222	0.033497537	984	0.989807976
280	52.08333333	0.015267176	970	0.990684214
280.5	41.66666667	-0.182352941	958	0.989779884
281	31.25	-0.272897196	950	0.990290407
281.5	17.36111111	-0.417582418	942	0.99076675
282	31.25	-0.272897196	930	0.98987115
282.5	17.36111111	-0.417582418	916	0.988955139
283	6.944444444	-0.483333333	910	0.989424207
283.5	3.472222222	-0.496385542	896	0.990376238
284	0	-0.482352941	882	0.989476909
284.5	0	-0.44	878	0.987848375
285	0	-0.417582418	870	0.988437033
285.5	0	-0.482352941	862	0.988986561
286	0	-0.372881356	850	0.987890936
286.5	0	-0.372881356	844	0.988332962
287	0	-0.372881356	832	0.987076077
287.5	0	-0.372881356	828	0.989536501
288	0	-0.372881356	822	0.987897472
288.5	0	-0.417582418	818	0.988132728
289	0	-0.137313433	816	0.988412017
289.5	0	-0.137313433	808	0.989015935
290	0	-0.271428571	804	0.987153374
290.5	0	-0.271428571	810	0.988835436
291	0	-0.271428571	810	0.988835436
291.5	0	-0.372881356	810	0.988835436
292	0	-0.372881356	810	0.988835436
292.5	0	-0.372881356	814	0.9905876
293	0	-0.372881356	816	0.99036648
293.5	0	-0.372881356	816	0.99036648
294	0	-0.372881356	828	0.991437522
294.5	0	-0.372881356	836	0.990819113
295	0	-0.372881356	842	0.99046391
295.5	0	-0.372881356	854	0.991443763
296	0	-0.372881356	860	0.992734123
296.5	0	-0.372881356	880	0.993059126
297	0	-0.372881356	888	0.99254997
297.5	0	-0.254545455	906	0.994421653
298	0	-0.254545455	920	0.993647059
298.5	0	-0.254545455	932	0.994329755
299	0	-0.254545455	946	0.994881846
299.5	0	-0.254545455	972	0.995921297
300	0	-0.254545455	988	0.995074334
300.5	0	-0.254545455	1012	0.996236559
301	0	-0.254545455	1032	0.996380667
301.5	0	-0.254545455	1052	0.996516659
302	0	-0.254545455	1072	0.996645134
302.5	0	-0.285714286	1098	0.997347111
303	0	-0.285714286	1118	0.99667598
303.5	0	-0.285714286	1144	0.997363925
304	0	-0.285714286	1170	0.997942777
304.5	0	-0.285714286	1192	0.997285449
305	0	-0.285714286	1224	0.997696737
305.5	0	-0.285714286	1258	0.997978166
306	0	-0.285714286	1284	0.997906672
306.5	0	-0.285714286	1312	0.997758597
307	0	-0.285714286	1338	0.998212433
307.5	0	-0.285714286	1370	0.998499026
308	0	-0.285714286	1398	0.998362415
308.5	0	-0.285714286	1430	0.998622226
309	0	-0.285714286	1464	0.998780442
309.5	0	-0.285714286	1494	0.99901679
310	0	-0.285714286	1528	0.999167837
310.5	0	-0.47	1556	0.999068784
311	0	-0.285714286	1582	0.999008138
311.5	0	-0.285714286	1622	0.999056425
312	0	-0.47	1648	0.999284558
312.5	0	-0.491428571	1680	0.999404998
313	0	-0.44	1708	0.999333918
313.5	0	-0.44	1740	0.99944531
314	0	-0.491428571	1766	0.999603793
