"wavelength"	"INH"	"INH_adj.r.squared"	"PL"	"PL_adj.r.squared"
"241"	3770	0.998645342133141	8051.70068027211	0.999749233340318
"241.5"	3760	0.998793545468255	8009.52380952381	0.999769517682067
"242"	3740	0.999066275391593	7979.59183673469	0.999831260276445
"242.5"	3730	0.998922444757335	7910.20408163265	0.999747813257581
"243"	3710	0.998910801940225	7851.70068027211	0.999752596334997
"243.5"	3700	0.998754124529147	7772.78911564626	0.999786508691063
"244"	3670	0.998886943100531	7695.2380952381	0.999797278670878
"244.5"	3660	0.999025030840861	7600	0.999792166810007
"245"	3640	0.99871273985277	7510.20408163265	0.999802129129939
"245.5"	3620	0.999003376316967	7387.75510204082	0.999772121353518
"246"	3610	0.998849657964968	7282.99319727891	0.999804978202676
"246.5"	3600	0.998992277555553	7142.85714285714	0.999781256393625
"247"	3580	0.998980992388637	7010.8843537415	0.9997895480819
"247.5"	3570	0.998823750823375	6861.22448979592	0.999780268383947
"248"	3550	0.998810467882633	6688.43537414966	0.999786268385015
"248.5"	3540	0.998957845931346	6518.36734693878	0.999834423923979
"249"	3530	0.999096247018685	6337.4149659864	0.999831608247233
"249.5"	3520	0.99894597588651	6133.33333333333	0.999820216979507
"250"	3520	0.99894597588651	5934.69387755102	0.999796948126132
"250.5"	3510	0.998783218144651	5719.72789115646	0.999829935244139
"251"	3510	0.99908592321755	5515.6462585034	0.99984084357771
"251.5"	3510	0.99908592321755	5293.87755102041	0.99983218390425
"252"	3520	0.99894597588651	5070.74829931973	0.999830911032497
"252.5"	3520	0.999225506647735	4840.81632653061	0.999803807276191
"253"	3530	0.999096247018685	4594.55782312925	0.999820349752466
"253.5"	3540	0.998957845931346	4372.78911564626	0.999804861806151
"254"	3560	0.998969516619173	4144.21768707483	0.999821536723992
"254.5"	3580	0.999251240133529	3918.36734693878	0.999804712928004
"255"	3600	0.999259533506109	3708.84353741497	0.999805436999801
"255.5"	3630	0.999145333724423	3497.95918367347	0.999724560616706
"256"	3650	0.999154670321426	3292.51700680272	0.999723430553754
"256.5"	3680	0.999291366481635	3111.56462585034	0.999688614352986
"257"	3710	0.999181780329806	2942.85714285714	0.999715992567511
"257.5"	3750	0.999199135635147	2765.98639455782	0.999678517649478
"258"	3780	0.99908592321755	2606.80272108844	0.99967155610508
"258.5"	3820	0.999104957439813	2458.50340136054	0.999556367232408
"259"	3850	0.999240183075415	2340.13605442177	0.999543811036394
"259.5"	3890	0.999009220851278	2227.21088435374	0.999459476598769
"260"	3930	0.999029277005514	2117.00680272109	0.999502052073957
"260.5"	3970	0.999048730372137	2016.32653061225	0.999524810880192
"261"	4010	0.999067604863373	1926.5306122449	0.999398761628429
"261.5"	4050	0.99908592321755	1843.53741496599	0.999452821508198
"262"	4100	0.999222986901779	1771.42857142857	0.999384397664957
"262.5"	4130	0.999339683829678	1712.92517006803	0.99926790280322
"263"	4170	0.999137752638477	1663.94557823129	0.999111996071134
"263.5"	4210	0.999154052651763	1613.60544217687	0.999143100753162
"264"	4250	0.999169894853348	1567.34693877551	0.999213737008586
"264.5"	4290	0.999388004895961	1536.05442176871	0.999089708055809
"265"	4330	0.999200272973492	1503.40136054422	0.999177372421103
"265.5"	4360	0.999102610841583	1477.55102040816	0.998978139298424
"266"	4390	0.999221975559659	1459.86394557823	0.998846569433656
"266.5"	4420	0.999126798420051	1444.89795918367	0.999074910946887
"267"	4450	0.999242806663301	1427.21088435374	0.998945671668899
"267.5"	4470	0.999249564747554	1423.12925170068	0.998898549665729
"268"	4500	0.999354940628209	1419.04761904762	0.998779317281065
"268.5"	4520	0.999164992302273	1414.96598639456	0.998725196763108
"269"	4550	0.999275712216321	1417.68707482993	0.999039081052225
"269.5"	4570	0.999282035572744	1423.12925170068	0.998898549665729
"270"	4590	0.999288276490349	1431.2925170068	0.999057251219072
"270.5"	4600	0.999193771887834	1435.37414965986	0.999151442771774
"271"	4620	0.999200734325339	1448.97959183673	0.999167294500178
"271.5"	4640	0.999207606973059	1462.58503401361	0.999182706236946
"272"	4650	0.999109349671168	1480.27210884354	0.999270467441232
"272.5"	4660	0.999214391368125	1499.31972789116	0.999140811455847
"273"	4660	0.999214391368125	1521.08843537415	0.999309076369452
"273.5"	4670	0.999312443849581	1544.21768707483	0.999266791066489
"274"	4670	0.999312443849581	1571.42857142857	0.999291951852726
"274.5"	4660	0.999214391368125	1594.55782312925	0.999262148356206
"275"	4660	0.999214391368125	1631.2925170068	0.999234531593822
"275.5"	4660	0.999214391368125	1662.58503401361	0.999321266968326
"276"	4640	0.999207606973059	1697.95918367347	0.999445471349353
"276.5"	4630	0.999300516685009	1738.77551020408	0.999452836193601
"277"	4630	0.999300516685009	1780.95238095238	0.999357723506095
"277.5"	4620	0.999200734325339	1829.93197278912	0.999444657801453
"278"	4610	0.999093833679286	1880.27210884354	0.999453580513132
"278.5"	4600	0.999193771887834	1925.17006802721	0.999498226317405
"279"	4610	0.999294436395793	1980.95238095238	0.99943133057329
"279.5"	4600	0.999193771887834	2043.53741496599	0.999497509704178
"280"	4590	0.99908592321755	2107.48299319728	0.999516285270866
"280.5"	4600	0.999193771887834	2175.51020408163	0.999499150589114
"281"	4590	0.99908592321755	2247.61904761905	0.999584594081748
"281.5"	4580	0.999186718089804	2323.80952380952	0.999662773482481
"282"	4580	0.998970801250286	2401.36054421769	0.999638957308708
"282.5"	4580	0.999186718089804	2480.27210884354	0.999564118106245
"283"	4560	0.999179571326018	2556.46258503401	0.999637264104862
"283.5"	4560	0.999179571326018	2646.25850340136	0.999702677881216
"284"	4540	0.999172329955836	2737.41496598639	0.99968288466288
"284.5"	4540	0.999172329955836	2832.65306122449	0.999655420552988
"285"	4530	0.999061560342644	2931.97278911565	0.999719046393944
"285.5"	4520	0.999164992302273	3023.12925170068	0.999697465514309
"286"	4500	0.999157556651024	3126.5306122449	0.999745536474999
"286.5"	4500	0.998933901918977	3223.12925170068	0.999696969427048
"287"	4500	0.999157556651024	3318.36734693878	0.999714110680008
"287.5"	4500	0.999157556651024	3421.76870748299	0.999755779683241
"288"	4510	0.999053222646652	3536.05442176871	0.999703824745953
"288.5"	4510	0.999053222646652	3639.45578231293	0.999742205200469
"289"	4530	0.999061560342644	3744.21768707483	0.999723560707072
"289.5"	4540	0.999172329955836	3847.61904761905	0.999756965975237
"290"	4540	0.999172329955836	3952.38095238095	0.999738759397405
"290.5"	4550	0.999275712216321	4047.61904761905	0.999750906423847
"291"	4560	0.999179571326018	4156.46258503401	0.999763779401028
"291.5"	4570	0.999077908735299	4259.86394557823	0.999789791152768
"292"	4590	0.999288276490349	4351.02040816327	0.999771819849131
"292.5"	4600	0.999193771887834	4450.34013605442	0.99976815456736
"293"	4610	0.999294436395793	4541.49659863946	0.999790556183707
"293.5"	4610	0.999093833679286	4631.2925170068	0.999771679647389
"294"	4630	0.999101641912601	4719.72789115646	0.999729065850458
"294.5"	4630	0.999101641912601	4801.36054421769	0.999738198773846
"295"	4640	0.999207606973059	4887.07482993197	0.999772636042534
"295.5"	4640	0.999207606973059	4961.90476190476	0.999787333128109
"296"	4650	0.999109349671168	5031.2925170068	0.999759164753535
"296.5"	4650	0.999109349671168	5099.31972789116	0.999765546595301
"297"	4650	0.999109349671168	5161.90476190476	0.999780780659797
"297.5"	4650	0.999306518723994	5213.60544217687	0.999726695218188
"298"	4650	0.999306518723994	5266.66666666667	0.999802423696078
"298.5"	4640	0.999207606973059	5306.12244897959	0.999800815407816
"299"	4630	0.999101641912601	5344.21768707483	0.999786538857834
"299.5"	4630	0.999101641912601	5365.98639455782	0.999760503213216
"300"	4630	0.999300516685009	5385.03401360544	0.999753388042383
"300.5"	4610	0.999093833679286	5406.80272108844	0.999764104953669
"301"	4600	0.999193771887834	5414.96598639456	0.999808741341285
"301.5"	4580	0.999186718089804	5410.8843537415	0.999787025227933
"302"	4570	0.999077908735299	5405.44217687075	0.99979419638884
"302.5"	4550	0.999275712216321	5379.59183673469	0.99976171290434
"303"	4540	0.999172329955836	5361.90476190476	0.999774620722598
"303.5"	4520	0.999360634667954	5321.08843537415	0.999771150369764
"304"	4500	0.999354940628209	5277.55102040816	0.999791278137332
"304.5"	4470	0.999249564747554	5228.57142857143	0.999780039219231
